cik,ni,ocf,rev,cogs,at,at_prev,se,fyear,ticker,tacc,gpoa,sic,sin_type,sin_core,sin_broad
14930,769200000.0,174300000.0,,,2915800000.0,2424200000.0,1038400000.0,2013,BC-PC,0.2454005445095289,,3510.0,none,0,0
15615,140950000.0,200402000.0,4324787000.0,,2923200000.0,2416300000.0,1016089000.0,2013,MTZ,-0.024604560691967,,1623.0,none,0,0
15847,514000.0,5001000.0,,,41115000.0,44321000.0,20088000.0,2013,BUKS,-0.1012386904627603,,7990.0,gaming,1,1
16040,153000000.0,419000000.0,3456000000.0,,4455000000.0,4376000000.0,2005000000.0,2013,CBT,-0.0607861060329067,,2890.0,none,0,0
16058,151689000.0,249331000.0,3681990000.0,3411149000.0,3519359000.0,2499566000.0,1284138000.0,2013,CACI,-0.0390635814377375,0.1083552104645366,7373.0,none,0,0
16160,109207000.0,,,,752885000.0,743989000.0,542929000.0,2013,CALM,,,200.0,none,0,0
16732,712000000.0,1019000000.0,,,8119000000.0,8593000000.0,1410000000.0,2013,CPB,-0.0357267543349237,,2000.0,none,0,0
16918,1943100000.0,826200000.0,,,14336300000.0,8322700000.0,4789800000.0,2013,STZ,0.1341992382279789,,2080.0,alcohol,1,1
17313,,,,,,635212000.0,,2013,CSWC,,,,none,0,0
17843,146100000.0,,,,2895400000.0,2582200000.0,1376700000.0,2013,CRS,,,3312.0,none,0,0
18230,,,55656000000.0,,84755000000.0,88970000000.0,,2013,CAT,,,3531.0,none,0,0
18255,54322000.0,92959000.0,920033000.0,,596918000.0,532646000.0,391109000.0,2013,CATO,-0.0725378581647097,,5621.0,none,0,0
18498,92653000.0,139999000.0,,,1439284000.0,1326072000.0,916190000.0,2013,GCO,-0.0357039436772663,,5661.0,none,0,0
18926,-239000000.0,,18095000000.0,,51787000000.0,53940000000.0,17191000000.0,2013,LUMN,,,4813.0,none,0,0
19584,77227000.0,,,1008808000.0,893701000.0,859626000.0,448890000.0,2013,CHE,,,8082.0,none,0,0
19617,17886000000.0,107953000000.0,97367000000.0,,2414879000000.0,2359141000000.0,211178000000.0,2013,JPM-PM,-0.038177879151776,,6021.0,none,0,0
19745,32787000.0,72931000.0,444306000.0,,837522000.0,733746000.0,278773000.0,2013,CPK,-0.0547110307926721,,4923.0,none,0,0
19871,2479029.0,3058485.0,,,28157346.0,25911503.0,24871102.0,2013,CVR,-0.0223628864755548,,3540.0,none,0,0
20212,54900000.0,144915000.0,0.0,,1352261000.0,1114337000.0,704800000.0,2013,CHDN,-0.0807789744036139,,7948.0,none,0,0
20286,517000000.0,796000000.0,4531000000.0,,17662000000.0,16548000000.0,6070000000.0,2013,CINF,-0.0168600435097897,,6331.0,none,0,0
20639,-6018000.0,-2267000.0,,,98363000.0,104870000.0,59773000.0,2013,ABCP,-0.0357680938304567,,6512.0,none,0,0
21076,572000000.0,775000000.0,5623000000.0,,4388000000.0,4502000000.0,156000000.0,2013,CLX,-0.0450910706352732,,2842.0,none,0,0
21175,937000000.0,1204000000.0,9932000000.0,,57194000000.0,58522000000.0,12651000000.0,2013,CNA,-0.0045623867947096,,6331.0,none,0,0
21344,8584000000.0,10542000000.0,,,90055000000.0,86174000000.0,33173000000.0,2013,KO,-0.0227214705131478,,2080.0,alcohol,1,1
21535,-33418000.0,3417000.0,,,345423000.0,334873000.0,253160000.0,2013,COHU,-0.1099969242070874,,3825.0,none,0,0
21665,2241000000.0,3204000000.0,17420000000.0,7219000000.0,13985000000.0,13394000000.0,2305000000.0,2013,CL,-0.0718978647155442,0.7616096759743168,2844.0,none,0,0
22356,260961000.0,361749000.0,,,23072036000.0,22159589000.0,2210642000.0,2013,CBSH,-0.0045482793024726,,6022.0,none,0,0
22444,77315000.0,147732000.0,,,3537709000.0,3497569000.0,1323072000.0,2013,CMC,-0.0201331267517524,,3312.0,none,0,0
22701,-957888.0,,,86420982.0,103533000.0,112534645.0,88622043.0,2013,SUNE,,,1700.0,none,0,0
23194,41029000.0,261279000.0,420290000.0,,2139398000.0,2569897000.0,952005000.0,2013,CRK,-0.0857038239275737,,1311.0,none,0,0
23197,17808000.0,37695000.0,,178967000.0,655214000.0,684747000.0,379945000.0,2013,CMTL,-0.0290428435611985,,3663.0,none,0,0
23217,303100000.0,1568600000.0,1700000000.0,,20786400000.0,12524500000.0,5472200000.0,2013,CAG,-0.1010419577627849,,2000.0,none,0,0
23795,3683247.0,10887804.0,26069830.0,,226183680.0,184696900.0,120169357.0,2013,CTO-PA,-0.039007460330953,,6798.0,none,0,0
24090,4793000.0,81414000.0,213636000.0,,1216280000.0,1174948000.0,249247000.0,2013,CIA,-0.0652122476909616,,6311.0,none,0,0
24545,567300000.0,1168200000.0,,,15580100000.0,16212200000.0,8605200000.0,2013,TAP-A,-0.0370646796856688,,2082.0,alcohol,1,1
24741,1961000000.0,,,4495000000.0,28478000000.0,29375000000.0,21162000000.0,2013,GLW,,,3357.0,none,0,0
25232,121761000.0,137340000.0,210741000.0,,2273206000.0,1124242000.0,1457401000.0,2013,CUZ,-0.0138573367655718,,6798.0,none,0,0
25445,192700000.0,264000000.0,,,3559600000.0,2889878000.0,1204319000.0,2013,CXT,-0.0246723218073565,,3490.0,none,0,0
25475,50978000.0,77844000.0,1253430000.0,936427000.0,790058000.0,847415000.0,199805000.0,2013,CRD-B,-0.0317034746847766,0.374082356342524,6411.0,none,0,0
25743,-28419313.0,-20768069.0,,,62016393.0,5925879.0,54698407.0,2013,TXMD,-1.2911576493546355,,2834.0,none,0,0
25895,5771000.0,3639000.0,,,49400000.0,43577000.0,34585000.0,2013,CRWS,0.0489248915712417,,2211.0,none,0,0
26058,-3929000.0,37571000.0,,,480265000.0,561190000.0,296729000.0,2013,CTS,-0.0739499991090361,,3672.0,none,0,0
26172,,,,13021000000.0,14728000000.0,12548000000.0,7510000000.0,2013,CMI,,,3510.0,none,0,0
26324,137981000.0,237827000.0,,1382242000.0,3458274000.0,3114588000.0,1552705000.0,2013,CW,-0.0320575305626297,,3590.0,none,0,0
26780,244000000.0,577000000.0,,,5129000000.0,5144000000.0,1309000000.0,2013,DAN,-0.0647356143079315,,3714.0,none,0,0
27093,,-1554000.0,30399000.0,32717000.0,6382331.0,9096431.0,1662554.0,2013,USAU,,-0.2548252166151757,1000.0,none,0,0
27419,,6520000000.0,71279000000.0,,44553000000.0,48163000000.0,16231000000.0,2013,TGT,,,5331.0,none,0,0
27904,10540000000.0,4504000000.0,37773000000.0,,52104000000.0,44550000000.0,11643000000.0,2013,DAL,0.1354882154882155,,4512.0,none,0,0
27996,186652000.0,,1584824000.0,561116000.0,1569529000.0,1412440000.0,550457000.0,2013,DLX,,0.7247798136558014,2780.0,none,0,0
28823,-181600000.0,124200000.0,,,2183491000.0,2592987000.0,596764000.0,2013,DBD,-0.1179334875184488,,3578.0,none,0,0
28917,323671000.0,,6691777000.0,4223715000.0,4050739000.0,4048744000.0,1992197000.0,2013,DDT,,0.609587071941323,5311.0,none,0,0
29002,26532000.0,109891000.0,,,1162258000.0,920063000.0,702742000.0,2013,DIOD,-0.0906014044690417,,3674.0,none,0,0
29332,5290000.0,-5921000.0,,,248866000.0,201770000.0,70771000.0,2013,DXYN,0.0555632651038311,,2273.0,none,0,0
29534,,,,,10867524000.0,10367682000.0,5402193000.0,2013,DG,,,5331.0,none,0,0
29644,247377000.0,315923000.0,,,1773543000.0,1718668000.0,1122170000.0,2013,DCI,-0.0398832118826905,,3564.0,none,0,0
29905,1003129000.0,,,,10855181000.0,10443943000.0,,2013,DOV,,,3530.0,none,0,0
29989,991100000.0,1809000000.0,14584500000.0,,22098700000.0,22151900000.0,3582400000.0,2013,OMC,-0.0369223407472948,,7311.0,none,0,0
30305,11378000.0,45962000.0,,,762645000.0,780089000.0,234271000.0,2013,DCO,-0.0443334029835057,,3728.0,none,0,0
30554,4848000000.0,3179000000.0,,,52142000000.0,49859000000.0,16229000000.0,2013,CTA-PA,0.033474397801801,,2820.0,none,0,0
30625,485530000.0,487759000.0,0.0,,5036733000.0,4810958000.0,1870379000.0,2013,FLS,-0.0004633172852475,,3561.0,none,0,0
30697,45487000.0,329847000.0,2423669000.0,,4363040000.0,4303199000.0,1929486000.0,2013,WEN,-0.0660810713146196,,5810.0,none,0,0
31107,6901921.0,11317036.0,142458279.0,,113858409.0,115854150.0,81504851.0,2013,EML,-0.0381092520207519,,3420.0,none,0,0
31235,,,,,3200000000.0,4286000000.0,628000000.0,2013,KODK,,,3861.0,none,0,0
31462,,,,,19636500000.0,17572300000.0,7344300000.0,2013,ECL,,,2840.0,none,0,0
31667,357600.0,2765100.0,,,18337300.0,18910900.0,13170700.0,2013,EDUC,-0.1273075316351945,,5190.0,none,0,0
31791,167212000.0,158591000.0,2157586000.0,,3946712000.0,3901762000.0,1994487000.0,2013,RVTY,0.0022095145731595,,3826.0,none,0,0
32604,2004000000.0,3649000000.0,,,24124000000.0,23771000000.0,10741000000.0,2013,EMR,-0.0692019687854949,,3600.0,none,0,0
32621,1317000.0,-8094000.0,77829000.0,,80598000.0,88880000.0,74357000.0,2013,MSN,0.1058843384338433,,3651.0,none,0,0
33002,13189000.0,,27100000.0,,557597000.0,497507000.0,380258000.0,2013,EBF,,,2761.0,none,0,0
33185,351800000.0,569000000.0,,,4539900000.0,4520100000.0,2300700000.0,2013,EFX,-0.0480520342470299,,7320.0,none,0,0
33213,390572000.0,1162861000.0,,,9765907000.0,8849862000.0,4034788000.0,2013,EQT,-0.0872656545378899,,1311.0,none,0,0
33488,9805000.0,9007000.0,163677000.0,,141974000.0,125740000.0,87955000.0,2013,ESCA,0.0063464291394941,,3949.0,none,0,0
33533,5562425.0,3285630.0,,,32381763.0,31914046.0,29938513.0,2013,ESP,0.0713414714010251,,3679.0,none,0,0
33992,2012318.0,7383537.0,36566185.0,,116783822.0,93498398.0,35709411.0,2013,KINS,-0.0574471767954783,,6331.0,none,0,0
34067,6459000.0,32016000.0,,,240545000.0,235431000.0,173029000.0,2013,BOOM,-0.1085540986531085,,3390.0,none,0,0
34285,-21244.0,-7036.0,,,450.0,486.0,-34130.0,2013,RLBY,-29.234567901234566,,7363.0,none,0,0
34782,54958000.0,,,,4722826000.0,4550693000.0,585378000.0,2013,SRCE,,,6022.0,none,0,0
34903,162681000.0,314498000.0,637413000.0,,4219294000.0,3898565000.0,1448160000.0,2013,FRT-PC,-0.0389417644697472,,6798.0,none,0,0
34956,-19541839.0,-9261571.0,158926.0,,33936209.0,3042837.0,30300767.0,2013,TENX,-3.3785141957981977,,2834.0,none,0,0
35527,1836000000.0,,,,130443000000.0,121894000000.0,14589000000.0,2013,FITB-PK,,,6022.0,none,0,0
36029,78868000.0,109858000.0,,,5222208000.0,4502012000.0,587647000.0,2013,FFIN,-0.0068835889375683,,6022.0,none,0,0
36104,5836000000.0,,19602000000.0,,364021000000.0,353855000000.0,41113000000.0,2013,USB-PS,,,6021.0,none,0,0
36146,117060000.0,155417000.0,,,11790383000.0,9828667000.0,1354953000.0,2013,TRMK,-0.0039025637962909,,6021.0,none,0,0
36270,1138480000.0,932324000.0,4538434000.0,,85162391000.0,83008803000.0,11305532000.0,2013,MTB-PJ,0.0024835438236592,,6022.0,none,0,0
36377,,,,,,,2651111000.0,2013,FHB,,,6022.0,none,0,0
36840,7449000.0,10475000.0,,,275031000.0,260507000.0,22109000.0,2013,FREVS,-0.0116158107075817,,6798.0,none,0,0
36966,26904000.0,431373000.0,1166951000.0,,23784493000.0,25334019000.0,2192946000.0,2013,FHN-PF,-0.0159654494614533,,6021.0,none,0,0
37472,13151000.0,5905000.0,,,206552000.0,185777000.0,,2013,FLXS,0.0390037518099657,,2510.0,none,0,0
37785,293900000.0,,3130700000.0,1929800000.0,5235200000.0,4373900000.0,1519800000.0,2013,FMC,,0.2745604609158874,2800.0,none,0,0
37808,117804000.0,386084000.0,,,13563405000.0,12023976000.0,1774383000.0,2013,FNB,-0.0223120871166076,,6021.0,none,0,0
37996,11953000000.0,,146917000000.0,,202204000000.0,189571000000.0,26140000000.0,2013,F-PD,,,3711.0,none,0,0
38264,-206886.0,2250412.0,,,15566261.0,14080643.0,9724111.0,2013,FWDI,-0.174516035950915,,6199.0,none,0,0
38725,81958000.0,,,,1051873000.0,976379000.0,595707000.0,2013,FELE,,,3621.0,none,0,0
38777,2150200000.0,2035700000.0,7985000000.0,,15909300000.0,14354200000.0,10507100000.0,2013,BEN,0.0079767594153627,,6282.0,none,0,0
39020,4040000.0,3642000.0,71550000.0,46800000.0,116375000.0,108280000.0,87422000.0,2013,FEIM,0.0036756557074251,0.2285740672330993,3825.0,none,0,0
39092,1712926.0,,,,71632791.0,69725192.0,63057204.0,2013,FRD,,,3310.0,none,0,0
39263,237866000.0,,923373000.0,,24312939000.0,23124069000.0,2514161000.0,2013,CFR-PB,,,6021.0,none,0,0
39311,77509000.0,52070000.0,,,2209943000.0,2023867000.0,231581000.0,2013,IBCP,0.0125695018496768,,6022.0,none,0,0
39368,96761000.0,,,,1873028000.0,1786320000.0,930065000.0,2013,FUL,,,2891.0,none,0,0
39911,1280000000.0,1705000000.0,,,7849000000.0,7470000000.0,3062000000.0,2013,GAP,-0.0568942436412315,,5651.0,none,0,0
40211,169300000.0,400700000.0,1321000000.0,,6535500000.0,6055400000.0,1397000000.0,2013,GATX,-0.0382138256762559,,4700.0,none,0,0
40533,2357000000.0,3111000000.0,30930000000.0,25454000000.0,35473000000.0,34309000000.0,14501000000.0,2013,GD,-0.0219767407968754,0.1596082660526392,3730.0,none,0,0
40545,13057000000.0,28510000000.0,113245000000.0,,663247000000.0,684999000000.0,130566000000.0,2013,GE,-0.0225591570206671,,3600.0,none,0,0
40570,-1890000.0,-1071000.0,,,10218000.0,11868000.0,2388000.0,2013,JOB,-0.0690091001011122,,7361.0,none,0,0
40704,1824400000.0,2541000000.0,,,23152100000.0,22952900000.0,6633400000.0,2013,GIS,-0.0312204558029704,,2040.0,none,0,0
40729,361000000.0,2501000000.0,4263000000.0,,150908000000.0,182347000000.0,14208000000.0,2013,ALLY,-0.0117358662330611,,6022.0,none,0,0
40987,684959000.0,1056731000.0,,,7680297000.0,6807061000.0,3349074000.0,2013,GPC,-0.0546156410233432,,5013.0,none,0,0
41719,67158000.0,173635000.0,,,1678410000.0,1242985000.0,684476000.0,2013,MAGN,-0.0856623370354429,,2621.0,none,0,0
42582,629000000.0,938000000.0,,,17437000000.0,16973000000.0,1606000000.0,2013,GT,-0.0182053850232722,,3011.0,none,0,0
42682,30104000.0,50386000.0,,,355638000.0,335183000.0,264140000.0,2013,GRC,-0.0605102287407177,,3561.0,none,0,0
42888,,243055000.0,,,1327228000.0,1321734000.0,,2013,GGG,,,3561.0,none,0,0
43196,18288000.0,60239000.0,,,1334424000.0,1249788000.0,174010000.0,2013,GTN-A,-0.0335664928771919,,4833.0,none,0,0
43920,144700000.0,250300000.0,,,3932300000.0,3942900000.0,1258600000.0,2013,GEF-B,-0.0267823175835045,,3412.0,none,0,0
45012,2125000000.0,4447000000.0,,,29223000000.0,27410000000.0,13581000000.0,2013,HAL,-0.0847136081721999,,1389.0,none,0,0
45919,,59572000.0,559609000.0,,685536000.0,706212000.0,349054000.0,2013,HHS,,,7331.0,none,0,0
46080,286198000.0,401132000.0,1872980000.0,,4393221000.0,4325387000.0,1682343000.0,2013,HAS,-0.0265719576074926,,3944.0,none,0,0
46129,,,,,170977000.0,60967000.0,48003000.0,2013,ALNT,,,3825.0,none,0,0
46195,150502000.0,,,,14084280000.0,13728372000.0,1011976000.0,2013,BOH-PB,,,6022.0,none,0,0
46250,18094000.0,34612000.0,,,230947000.0,219873000.0,180928000.0,2013,HWKN,-0.0751251859027711,,5160.0,none,0,0
46619,102396000.0,,,637576000.0,1523566000.0,1192521000.0,607242000.0,2013,HEI-A,,,3724.0,none,0,0
46765,736639000.0,997185000.0,,,6410587000.0,5934288000.0,4568612000.0,2013,HP,-0.0439051828964148,,1381.0,none,0,0
47111,820470000.0,1191399000.0,1800000000.0,,5357488000.0,4754839000.0,1604834000.0,2013,HSY,-0.0780108432693515,,2060.0,none,0,0
47217,5113000000.0,11608000000.0,55273000000.0,44754000000.0,105025000000.0,106701000000.0,27754000000.0,2013,HPQ,-0.060871032136531,0.098583893309341,3570.0,none,0,0
48287,63683000.0,165002000.0,,,1134705000.0,1077066000.0,436328000.0,2013,HNI,-0.0940694442123323,,2522.0,none,0,0
48465,526211000.0,,,,5067170000.0,4622830000.0,3417754000.0,2013,HRL,,,2011.0,none,0,0
48898,326500000.0,381800000.0,,,3184000000.0,2947000000.0,1906400000.0,2013,HUBB,-0.0187648456057007,,3670.0,none,0,0
49071,1231000000.0,1716000000.0,41313000000.0,,20735000000.0,19979000000.0,9316000000.0,2013,HUM,-0.0242754892637269,,6324.0,none,0,0
49196,641282000.0,1013245000.0,,,59467174000.0,56141474000.0,6090153000.0,2013,HBANP,-0.0066254583910639,,6021.0,none,0,0
49600,,109750000.0,202171000.0,,1473412000.0,1354102000.0,513998000.0,2013,EGP,,,6798.0,none,0,0
49754,72037000.0,127815000.0,640467000.0,270775000.0,2366757000.0,2415400000.0,315179000.0,2013,DIN,-0.0230926554607932,0.1530562225718307,5812.0,none,0,0
49826,,2528000000.0,,,19599000000.0,19309000000.0,,2013,ITW,,,3560.0,none,0,0
50292,1453707.0,1670287.0,,,10654188.0,9209933.0,,2013,IEHC,-0.0235159148280448,,3678.0,none,0,0
50471,257487.0,-149064.0,,,16948221.0,12068944.0,11072847.0,2013,TRAK,0.0336857143425307,,7374.0,none,0,0
50493,20795890.0,145200682.0,,,1653722606.0,1669328000.0,416556857.0,2013,IMKTA,-0.0745238754756405,,5411.0,none,0,0
50725,3767000.0,,,,1752159000.0,1760846000.0,595093000.0,2013,GFF,,,3442.0,none,0,0
50863,9620000000.0,,,,92358000000.0,84351000000.0,58256000000.0,2013,INTC,,,3674.0,none,0,0
51143,,,98367000000.0,49683000000.0,125641000000.0,119213000000.0,22792000000.0,2013,IBM,,0.4083782808921846,3570.0,none,0,0
51253,353544000.0,407562000.0,,,3331731000.0,3246192000.0,1463072000.0,2013,IFF,-0.0166404205296544,,2860.0,none,0,0
51434,1395000000.0,3028000000.0,,,31528000000.0,32153000000.0,8105000000.0,2013,INPAP,-0.0507884178770254,,2621.0,none,0,0
52827,371896000.0,546793000.0,,,3685501000.0,3122951000.0,1661170000.0,2013,RYN,-0.0560037605457146,,6798.0,none,0,0
52988,423093000.0,448516000.0,11818376000.0,,8441152000.0,6936678000.0,4322993000.0,2013,J,-0.0036650108308328,,1600.0,none,0,0
54187,663671.0,2815536.0,,,57669734.0,56220605.0,43712032.0,2013,MAYS,-0.0382753796406139,,6512.0,none,0,0
55135,58900000.0,115300000.0,,,1798600000.0,1635700000.0,822600000.0,2013,KELYB,-0.0344806504860304,,7363.0,none,0,0
55234,,,,,,1027738.0,,2013,GAMG,,,7990.0,gaming,1,1
55242,203265000.0,284150000.0,2589373000.0,,3808200000.0,3100539000.0,1871997000.0,2013,KMT,-0.0260873996424492,,3541.0,none,0,0
55529,3895000.0,,111166000.0,,64963000.0,60623000.0,31633000.0,2013,KEQU,,,3821.0,none,0,0
55785,2142000000.0,,,,18919000000.0,19873000000.0,4856000000.0,2013,KMB,,,2670.0,none,0,0
56047,253061000.0,601032000.0,2242195000.0,,3682517000.0,3653128000.0,2010686000.0,2013,KEX,-0.0952528901259413,,4400.0,none,0,0
56679,72691000.0,129482000.0,995559000.0,,1152833000.0,1063390000.0,722579000.0,2013,KFY,-0.0534056178824325,,7361.0,none,0,0
56701,5427715.0,,,,27550487.0,27001962.0,17487094.0,2013,KOSS,,,3651.0,none,0,0
